finding	platform	record_id	path	detail
exact-status-conflict	common	2026-08-05_wm_content_frame_web_provenance_unreachable_via_widget_panel	doc/08_tracking/bug/2026-08-05_wm_content_frame_web_provenance_unreachable_via_widget_panel.md	document=OPEN (P2); DB=fixed; no status change authorized by this audit
exact-status-conflict	common	2026-08-05_wm_false_success_family_guard_blocked_by_out_of_scope_gaps	doc/08_tracking/bug/2026-08-05_wm_false_success_family_guard_blocked_by_out_of_scope_gaps.md	document=OPEN (P2); DB=fixed; no status change authorized by this audit
exact-status-conflict	common	a2_target_ir_blocked_on_untracked_target_graph_2026-08-10	doc/08_tracking/bug/a2_target_ir_blocked_on_untracked_target_graph_2026-08-10.md	document=OPEN (P2); DB=fixed; no status change authorized by this audit
unregistered-document	common	acpi_spec_three_reads_return_zero_2026-09-19	doc/08_tracking/bug/acpi_spec_three_reads_return_zero_2026-09-19.md	Status: OPEN — undiagnosed, needs an owner; severity/priority: P2 — a red in the phase-1 unit suite with no current owner; matches:
unregistered-document	common	admit_is_a_hard_keyword_unusable_as_identifier_2026-08-21	doc/08_tracking/bug/admit_is_a_hard_keyword_unusable_as_identifier_2026-08-21.md	Status: OPEN (low severity, worked around); severity/priority: not explicit; matches:
unregistered-document	common	admitted_stage2_minimal_native_compile_str_clear_2026-08-16	doc/08_tracking/bug/admitted_stage2_minimal_native_compile_str_clear_2026-08-16.md	Status: open runtime blocker for compilerminimalnativecompileperf.; severity/priority: not explicit; matches:
exact-status-conflict	common	aes128_ccm_rfc3610_kat_mismatch_2026-07-20	doc/08_tracking/bug/aes128_ccm_rfc3610_kat_mismatch_2026-07-20.md	document=OPEN. Do not touch the expected vectors — RFC 3610 §8; DB=closed; no status change authorized by this audit
unregistered-document	common	aes128_gcm_verification_blocked_by_env_access_parse_2026-08-25	doc/08_tracking/bug/aes128_gcm_verification_blocked_by_env_access_parse_2026-08-25.md	Status: Open, unrelated blocker; severity/priority: not explicit; matches:
exact-status-conflict	common	aes256_ctr_keystream_wrong_after_first_block_2026-07-20	doc/08_tracking/bug/aes256_ctr_keystream_wrong_after_first_block_2026-07-20.md	document=OPEN. Do not touch the expected vector — NIST SP 800-38A; DB=fixed; no status change authorized by this audit
exact-status-conflict	common	aliased_array_mut_param_mutation_lost_interpreter_2026-08-06	doc/08_tracking/bug/aliased_array_mut_param_mutation_lost_interpreter_2026-08-06.md	document=OPEN (P1); DB=closed; no status change authorized by this audit
unregistered-document	common	aliased_import_shadowed_by_local_fn_native_codegen_2026-09-03	doc/08_tracking/bug/aliased_import_shadowed_by_local_fn_native_codegen_2026-09-03.md	Status: OPEN; severity/priority: critical — produces a silent infinite self-recursion (stack overflow) in the emitted binary; matches:
unregistered-document	common	aliased_use_import_does_not_bind_in_transitive_module_2026-08-10	doc/08_tracking/bug/aliased_use_import_does_not_bind_in_transitive_module_2026-08-10.md	Status: PARTIALLY FIXED 2026-08-10 — codegen now consumes the alias map;; severity/priority: not explicit; matches:
unregistered-document	common	allow_reserved_as_hard_keyword_2026-09-13	doc/08_tracking/bug/allow_reserved_as_hard_keyword_2026-09-13.md	Status: OPEN (2026-09-13); severity/priority: not explicit; matches:
exact-status-conflict	common	angle_bracket_index_lint_parse_mismatch_2026-06-06	doc/08_tracking/bug/angle_bracket_index_lint_parse_mismatch_2026-06-06.md	document=Open; DB=fixed; no status change authorized by this audit
exact-status-conflict	common	any_receiver_element_read_shift_and_tag_2026-08-06	doc/08_tracking/bug/any_receiver_element_read_shift_and_tag_2026-08-06.md	document=OPEN (P1); DB=fixed; no status change authorized by this audit
exact-status-conflict	common	any_typed_closure_param_destroys_value_2026-07-28	doc/08_tracking/bug/any_typed_closure_param_destroys_value_2026-07-28.md	document=open; DB=closed; no status change authorized by this audit
unregistered-document	common	arm32_qemu_release_lineage_and_nonce_gap_2026-08-11	doc/08_tracking/bug/arm32_qemu_release_lineage_and_nonce_gap_2026-08-11.md	Status: OPEN; severity/priority: not explicit; matches:
unregistered-document	common	arm64_attested_build_rejects_rust_seed_by_design_2026-09-01	doc/08_tracking/bug/arm64_attested_build_rejects_rust_seed_by_design_2026-09-01.md	Status: OPEN. Corrects the working hypothesis that a fresh cargo build; severity/priority: not explicit; matches:
unregistered-document	common	arm64_desktop_engine2d_media_chain_blockers_2026-09-01	doc/08_tracking/bug/arm64_desktop_engine2d_media_chain_blockers_2026-09-01.md	Status: PARTIALLY FIXED. Registration (Blocker 1 of; severity/priority: not explicit; matches:
unregistered-document	common	arm64_desktop_engine2d_seed_codegen_dbd_unresolved_global_2026-09-01	doc/08_tracking/bug/arm64_desktop_engine2d_seed_codegen_dbd_unresolved_global_2026-09-01.md	Status: OPEN. Fifth blocker in the chain behind the arm64 WM+Vulkan pixel; severity/priority: not explicit; matches:
unregistered-document	simpleos	arm64_framebuffer_color_struct_return_abi_2026-08-21	doc/08_tracking/bug/arm64_framebuffer_color_struct_return_abi_2026-08-21.md	Status: OPEN — focused native owner fixed; fresh attested QEMU evidence pending; severity/priority: P0 for the resumed QEMU desktop-rendering goal; matches:
unregistered-document	common	arm64_wm_vulkan_real_firmware_lane_blocked_2026-09-01	doc/08_tracking/bug/arm64_wm_vulkan_real_firmware_lane_blocked_2026-09-01.md	Status: OPEN. Gate landed ADVISORY (honestly RED).; severity/priority: not explicit; matches:
unregistered-document	common	array_at_method_missing_dash_path_2026-07-20	doc/08_tracking/bug/array_at_method_missing_dash_path_2026-07-20.md	Status: open — root-caused and patched 2026-08-01, fix NOT YET COMPILED; severity/priority: high (production source code, not a test-only issue); matches:
unregistered-document	common	array_set_missing_on_interpreter_2026-08-18	doc/08_tracking/bug/array_set_missing_on_interpreter_2026-08-18.md	Status: OPEN; severity/priority: medium — silently splits run/test semantics for a documented array method; matches:
unregistered-document	common	arrow_lambda_parser_half_reverted_by_snapshot_commit_2026-09-01	doc/08_tracking/bug/arrow_lambda_parser_half_reverted_by_snapshot_commit_2026-09-01.md	Status: OPEN — reported, NOT fixed here (out of scope of the duplicate-symbol fix).; severity/priority: not explicit; matches:
unregistered-document	common	arrow_match_arm_multi_field_pattern_parse_fail_2026-08-18	doc/08_tracking/bug/arrow_match_arm_multi_field_pattern_parse_fail_2026-08-18.md	Status: OPEN — doctest deliberately left RED (evidence, do not "fix" the doc); severity/priority: not explicit; matches:
unregistered-document	common	asm_block_form_discards_operand_constraints_2026-09-01	doc/08_tracking/bug/asm_block_form_discards_operand_constraints_2026-09-01.md	Status: OPEN; severity/priority: not explicit; matches:
exact-status-conflict	common	asm_template_placeholders_never_bind_2026-08-07	doc/08_tracking/bug/asm_template_placeholders_never_bind_2026-08-07.md	document=OPEN (P2 — downgraded from P1) — root cause C and the arch-gating gap; DB=fixed; no status change authorized by this audit
unregistered-document	common	aspect_dynload_producer_absent_and_mode_silent_downgrade_2026-08-23	doc/08_tracking/bug/aspect_dynload_producer_absent_and_mode_silent_downgrade_2026-08-23.md	Status: PARTIAL — the producer/writer/reader slice is implemented;; severity/priority: not explicit; matches:
unregistered-document	common	aspect_weave_specs_timeout_vacuous_green_2026-08-18	doc/08_tracking/bug/aspect_weave_specs_timeout_vacuous_green_2026-08-18.md	Status: OPEN — reproduced, not fixed; severity/priority: not explicit; matches:
unregistered-document	common	assignment_rhs_line_continuation_rejected_2026-08-21	doc/08_tracking/bug/assignment_rhs_line_continuation_rejected_2026-08-21.md	Status: OPEN. Filed rather than silently normalised, per CLAUDE.md ("When a; severity/priority: medium — the failure is at MODULE level, so one such line takes down; matches:
