route_key	classification	file_count	confidence	owner_surface	evidence
checker_entry_path_argument_collision	checker_false_positive	1	high	src/app/check/main.spl get_cli_args	target path equals embedded entry suffix and is discarded as argv prefix
checker_raw_text_concurrency_lint	checker_false_positive	2	high	src/app/check/main.spl; src/app/cli/check.spl	lint matched forbidden text inside its own implementation or canonical rt_pool owner
pure_parser_assignment_context_gap	checker_parser_false_positive	4	high	src/compiler/10.frontend/core parser parity	valid metadata/member/destructuring context was parsed as an expression
pure_parser_class_member_gap	checker_parser_false_positive	51	high	src/compiler/10.frontend/core parser parity	canonical parser permits keyword method/field names and public members
pure_parser_custom_block_gap	checker_parser_false_positive	1	high	src/compiler/10.frontend/core parser parity	Rust parser exposes custom block expressions including m{...}
pure_parser_declaration_boundary_gap	checker_parser_false_positive	10	high	src/compiler/10.frontend/core parser parity	valid following declaration/destructuring was consumed by the previous construct
pure_parser_declaration_newline_gap	checker_parser_false_positive	9	high	src/compiler/10.frontend/core parser parity	canonical declaration/custom-block boundary rejected at newline
pure_parser_dedent_context_gap	checker_parser_false_positive	5	high	src/compiler/10.frontend/core parser parity	isolated canonical source reaches a false expression-at-dedent state
pure_parser_enum_if_val_pattern_gap	checker_parser_false_positive	7	high	src/compiler/10.frontend/core parser parity	Rust parser_patterns supports dotted enum-variant patterns
pure_parser_fixed_array_type_gap	checker_parser_false_positive	2	high	src/compiler/10.frontend/core parser parity	Rust parser_types explicitly accepts [T; N]
pure_parser_keyword_identifier_gap	checker_parser_false_positive	18	high	src/compiler/10.frontend/core parser parity	Rust parser helper accepts contextual keywords as method/field names
pure_parser_keyword_receiver_gap	checker_parser_false_positive	4	high	src/compiler/10.frontend/core parser parity	contextual keyword receiver parsed as a declaration
pure_parser_metadata_block_gap	checker_parser_false_positive	24	high	src/compiler/10.frontend/core parser parity	Rust parser parse_metadata_block explicitly accepts arch/config/metadata key=value blocks
pure_parser_pointer_deref_gap	checker_parser_false_positive	2	high	src/compiler/10.frontend/core parser parity	canonical raw-pointer dereference rejected
pure_parser_reference_type_gap	checker_parser_false_positive	9	high	src/compiler/10.frontend/core parser parity	Rust parser_types handles Ampersand reference capabilities
pure_parser_relative_import_gap	checker_parser_false_positive	1	high	src/compiler/10.frontend/core parser parity	relative import ellipsis token is lexed but not accepted by pure parser
pure_parser_structured_or_keyword_export_gap	checker_parser_false_positive	17	high	src/compiler/10.frontend/core parser parity	canonical sources use structured/star/keyword-named exports
pure_parser_type_or_multiline_signature_gap	checker_parser_false_positive	62	high	src/compiler/10.frontend/core parser parity	canonical parser supports reference/function/empty-array types, capabilities, and multiline signatures
pure_parser_type_test_gap	checker_parser_false_positive	1	high	src/compiler/10.frontend/core parser parity	canonical `is Type` expression rejected
pure_parser_unmatched_surface_gap	checker_parser_false_positive	20	medium	src/compiler/10.frontend/core parser parity	isolated repository source rejected without a proven source-contract violation
source_asm_syntax	invalid_source	2	high	src/lib/nogc_async_mut_noalloc/baremetal/arm/startup.spl	asm operand uses foreign compiler syntax
source_comprehension_syntax	invalid_source	2	high	src/lib/skia/backend/cpu/backend.spl	unsupported comprehension spelling
source_contract_violation	invalid_source	9	high	src/lib/common/ui/gpu_event_core.spl	diagnostic states an enforced representation/literal contract
source_empty_control_body	invalid_source	2	high	src/app/audit/ffi_analyzer.spl	empty branch/match arm
source_export_assignment	invalid_source	1	high	src/lib/nogc_sync_mut/tcp/__init__.spl	export assignment is not a declaration
source_foreign_conditional_expression	invalid_source	6	high	src/app/interpreter/ast_types.spl	foreign inline conditional spelling
source_foreign_fluent_chain	invalid_source	11	high	src/app/leak_finder/__init__.spl	leading-dot fluent chain is not a Simple statement
source_foreign_import_syntax	invalid_source	43	high	src/app/interpreter/async_runtime/actors.spl	Python-style import in a .spl source
source_foreign_match_arrow	invalid_source	12	high	src/app/ui.render/_TuiWidgets/core_widgets.spl	foreign match-arm arrow; Simple uses case blocks
source_foreign_pointer_type	invalid_source	3	high	src/lib/gc_async_mut/simd/scalable.spl	Rust/C pointer type spelling
source_forward_declaration_without_body	invalid_source	14	high	src/lib/gc_async_mut/buffer/create.spl	bodyless function declaration reaches EOF
source_incomplete_declaration	invalid_source	4	high	src/compiler/35.semantics/semantics/binary_ops.spl	type declaration has no body delimiter
source_inline_match_semicolon	invalid_source	5	high	src/compiler/10.frontend/parser/partial.spl	multiple match arms compressed with semicolons
source_legacy_function_syntax	invalid_source	15	high	src/lib/gc_async_mut/lsp/handlers/definition.spl	legacy function modifier/receiver spelling
source_legacy_generic_syntax	invalid_source	5	high	src/app/interpreter/lazy/lazy_seq.spl	legacy/square or repeated generic parameter syntax
source_legacy_type_syntax	invalid_source	1	high	src/lib/common/bcrypt/utilities.spl	square generic type spelling
source_lexical_error	invalid_source	4	high	src/app/search/render_adapter.spl	source contains a rejected comment or unterminated literal
source_reserved_binding_name	invalid_source	3	high	src/lib/gc_async_mut/pure/nn/pooling.spl	`val` is parsed as a binding keyword, not an identifier
source_rust_closure_syntax	invalid_source	5	high	src/app/interpreter/main.spl	Rust closure spelling in a .spl source
sspec_command_block_layout	invalid_source_for_check_surface	17	high	source/test layout owner	checker intentionally requires command-block source to run through bin/simple test
