work_package,wave,title,exclusive_file_scope,dependencies,deliverable,acceptance_gate
WP-00,Wave 0,Baseline and collision census,tracking/docs only,none,Name/type/config census; exact baseline SHA,No duplicate proposed contract names
WP-01,Wave 0,Transfer contract v1,src/lib/common/structural/transfer/**,WP-00,"TransferEnvelope, ownership token, validation",Golden wire vectors; malformed and pointer rejection
WP-02,Wave 0,Storage-layout contract v1,src/lib/common/structural/storage_layout/**,WP-00,StorageLayoutPlan and mapping contract,Deterministic hash/equality; spatial-layout collision avoided
WP-03,Wave 0,Parallel-commit contract v1,src/lib/common/structural/parallel_commit/**,WP-00,Result/commit/order/conflict/receipt contract,Random completion produces deterministic order
WP-04,Wave 0,Typed policy schema/resolver,src/compiler/00.common/*policy*,WP-00,Resolved memory/parallel policies,Raise-only profile and precedence matrix
WP-05,Wave 0,Requirements and diagnostics,doc/02_requirements; diagnostic registry,WP-00,REQ-MC and diagnostic IDs,Every rule mapped to a test
WP-10,Wave 1,Borrow/region soundness,src/compiler/55.borrow/**,WP-01,"CFG dataflow, region graph, conservative dynamic indices",Adversarial alias/branch/loop tests; sabotage probe
WP-11,Wave 1,HIR boundary transfer checker,src/compiler/35.semantics dedicated module,"WP-01,WP-04,WP-05",Transfer class and capture diagnostics,Bootstrap/interpreter-reachable source-string tests
WP-12,Wave 1,MIR transfer operations,src/compiler/50.mir assigned files,"WP-01,WP-10","TransferOut/In, Freeze, Snapshot, Commit ops",All transfer sites emit correct facts
WP-13,Wave 1,Rust transfer/codec runtime,runtime transfer/codec new modules,WP-01,Envelope encode/decode and validation,Fuzz; pointer payload rejected
WP-14,Wave 1,Bounded mailbox and task envelopes,runtime parallel_app mailbox/task,"WP-01,WP-04",Bounded/rendezvous/credits/cancel,Backpressure and bounded-memory tests
WP-15,Wave 1,General commit engine,parallel_commit engine + runtime mirror,"WP-03,WP-14",Validate/order/conflict/apply/verify/publish,Deterministic replay; atomic publish
WP-16,Wave 1,Actor/channel migration,actor/channel modules,"WP-11,WP-13,WP-14",Remove raw Value messaging,Nested heap send and non-sendable rejection
WP-17,Wave 1,Process transport and handoff ABI,process modules; handoff exports,"WP-13,WP-14",Typed input/result and ObjectRef/codec transport,Separate-process test; runtime archive builds
WP-18,Wave 1,Thread-pool rewrite,thread_pool and queue modules,WP-14,Stable PoolState and typed tasks/results,No globals; concurrency stress; bounded RSS
WP-20,Wave 2,Access/field/partition analysis,60.mir_opt/storage_layout analysis,"WP-02,WP-10",Field use and address/ABI facts,Hand-built MIR oracle cases
WP-21,Wave 2,Reference layout planner,common storage-layout planner,"WP-02,WP-20,WP-04",Deterministic candidates/cost model,CPU/SIMD/GPU golden decisions
WP-22,Wave 2,Typed host AoS/SoA lowering,backend storage projection,WP-21,Equivalent physical projections,Randomized semantic parity
WP-23,Wave 2,AoSoA/SIMD lowering,SIMD backend/layout views,WP-22,Native/scalable block layout,Scalar parity and tail safety
WP-24,Wave 2,GPU grouped/tiled layout,GPU layout/view/kernels,WP-22,Coalesced grouped SoA/AoSoA,CPU oracle and transfer-inclusive receipt
WP-25,Wave 2,Layout revision cache,layout view cache,WP-22,Revision-keyed views and invalidation,Stale rejection; no duplicate concurrent conversion
WP-26,Wave 2,False-sharing and NUMA,optimizer + allocator/placement adapters,"WP-20,WP-04",Writer sets and placement plan,Cache-to-cache/NUMA evidence where available
WP-27,Wave 2,Owner-local allocator/remote free,allocator extensions,"WP-01,WP-14",Owner arenas and batch remote frees,Cross-worker stress; leak/double-free checks
WP-30,Wave 3,MDSOC+ port integration,src/compiler/85.mdsoc/**,"WP-01,WP-02,WP-03,WP-04,WP-15,WP-21",Transfer/layout/commit ports,Real stage routed; bypass probe fails
WP-31,Wave 3,Compiler parser pilot,parser pilot modules/tests,"WP-15,WP-22,WP-30",Child parse artifacts and parent symbol commit,Deterministic output under randomized completion
WP-32,Wave 3,Browser/layout pilot,browser structural pilot,"WP-15,WP-24,WP-25,WP-30",Island deltas and parent commit,CPU oracle and invalidation parity
WP-33,Wave 3,File/process staging pilot,example + process adapter/tests,"WP-17,WP-15",Typed immutable input and parsed result,Real child process; cleanup/cancel
WP-34,Wave 3,Public task/channel migration,public libs/examples,"WP-16,WP-18",Ruby-like APIs; deprecated unsafe paths,Compatibility and parity tests
WP-35,Wave 3,Particle/render layout pilot,contained graphics example,"WP-23,WP-24,WP-25",Logical array with target views,AoS/SoA/AoSoA parity and full receipts
WP-36,Wave 3,DB/server pilot,contained DB/server modules,"WP-15,WP-18",Partition commit and local reduction,Deterministic replay; bounded memory
WP-40,Wave 4,Guides and quick reference,doc/07_guide/**,public contracts frozen,Ordinary-first usage guide,Every sample tested or marked pseudocode
WP-41,Wave 4,Feature/layer skills,doc/00_llm_process/**skill.md,public contracts frozen,Authoritative status and blockers,No stale bootstrap/ownership claims
WP-42,Wave 4,Modern sspec/system tests,test/doc specs,pilots landed,Host/Simple OS/runtime parity,Sabotage-verified system tests
WP-43,Wave 4,Formal models,formal docs/models/tests,"WP-01,WP-02,WP-03","Token uniqueness, commit atomicity, projection bounds",Lean checks and surfaced assumptions
WP-44,Wave 4,Benchmark and PGO harness,benchmark/tooling,layout/runtime landed,End-to-end memory/perf evidence,Reproducible target metadata; no kernel-only claims
